seniority_level,internship,degree_requirements,programming_languages,type_of_ml,libraries_and_tools,cloud_platforms,key_responsibilities,domain
Mid-Level,False,"BS, MS or PhD in Computer Science, Engineering or a related technical field","['Python', 'C++', 'Golang']","['Recommendation Systems', 'Supervised Learning', 'Deep Learning']",['Not mentioned'],['Not mentioned'],"['Improve existing machine learning systems using core coding skills and ML knowledge', 'Take end to end ownership of machine learning systems from data pipelines to production integration', 'Apply state-of-the-art machine learning algorithms at scale for ad recommendation systems', 'Collaborate with ML platform and product engineers to build scalable ML systems']",['Social Media']
Senior,False,5+ years of professional experience or 3+ years with an advanced degree,['Python'],"['Deep Learning', 'Computer Vision', 'Pattern Recognition']","['PyTorch', 'TensorFlow', 'MLflow', 'Lightning', 'Weights and Biases']",['Not mentioned'],"['Develop machine learning models for vegetation management in energy infrastructure.', 'Create feedback loops to accelerate model development and assess performance.', 'Scale technology to serve a growing number of customers and use cases.', 'Collaborate with engineering team to ensure reliable model performance in production.']",['Energy']
Mid-Level,False,"Bachelor’s degree in Computer Science, Statistics, Data Analysis, Mathematics, or a related field","['Python', 'R', 'SQL']","['Predictive Modeling', 'Statistical Modeling', 'Anomaly Detection']",['Not mentioned'],['Not mentioned'],"['Design and evaluate models to mathematically express and solve defined problems', 'Build predictive models and machine-learning algorithms', 'Analyze large amounts of data/information to discover and articulate trends and patterns', 'Develop conclusive insights using statistical methods']",['Cybersecurity']
Not mentioned,False,"Master's degree in Computer Science, Engineering, Operations Research, or related fields",['Not mentioned'],"['Deep Learning', 'Statistical Modeling', 'Predictive Modeling']",['Not mentioned'],['Not mentioned'],"['Contribute to developing innovative deep learning and statistical models for efficient e-commerce logistics and ETA predictions', 'Harness data mining tools to construct logistics network knowledge graphs', 'Participate in crafting advanced predictive models for express package trajectories', 'Assist in creating an optimized Service Network Design (SND) model']","['E-commerce', 'Logistics']"
Mid-Level,False,Bachelor’s degree in Computer Science or related fields,"['Java', 'C#', 'Python']","['Supervised Learning', 'Deep Learning', 'Natural Language Processing']","['TensorFlow', 'PyTorch']",['Not mentioned'],"['Develop scalable, robust, and highly available micro services to perform statistical analyses and build/deploy machine learning models', 'Implement new features and optimize existing ones to delight customers', 'Build and maintain highly scalable data pipelines to cleanse, anonymize, measure, and index complex and multi-modal data', 'Collaborate with peers, prioritize features, and work with a sense of urgency to deliver value to customers']",['Software and Cloud']
Mid-Level,False,"Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience","['C++', 'Rust', 'Python']","['Embedded ML', 'Optimization']","['TensorFlow', 'PyTorch', 'Git', 'Bazel', 'Buck', 'CMake']",['Not mentioned'],"['Design and develop the host runtime environment for heterogeneous computing systems', 'Develop and implement device drivers, APIs, and libraries', 'Collaborate with hardware engineers to optimize the host runtime environment', 'Troubleshoot and debug issues with hardware engineers and application developers']",['Software and Cloud']
Not mentioned,False,"Degree in computer science, electrical engineering or related fields",['Python'],"['Computer Vision', 'Natural Language Processing', 'Deep Learning', 'Recommendation Systems', 'Multimodal Learning']","['PyTorch', 'Tensorflow', 'MXNet', 'Caffe']",['Not mentioned'],"['Conducting development and research on cutting-edge CV, NLP, multi-modality and recommendation topics', 'Following SoTA progress in relevant fields and transform the ideas into production', 'Life-cycle model development, from model training, deployment, maintenance, till its use in business scenarios']",['Social Media']
Early Career,False,Not mentioned,['Python'],"['Reinforcement Learning', 'Natural Language Processing', 'Deep Learning']",['Not mentioned'],['Not mentioned'],"['Build and maintain ML models and integrate them with various data sources', 'Architect and design core ML services that support KYC/KYB processes', 'Develop and maintain robust data pipelines for feature extraction and transformation', 'Implement and experiment with state-of-the-art techniques including RLHF and parameter-efficient fine-tuning methods']","['Finance', 'Government']"
Early Career,False,"Bachelor’s Degree or equivalent work experience in Computer Science, Information Systems, Data Engineering, Data Analytics, Machine Learning, or related field required. Master’s Degree preferred.","['Python', 'Java', 'SQL']","['Deep Learning', 'Natural Language Processing', 'Computer Vision']","['Scikit-learn', 'XGBoost', 'NumPy', 'Keras', 'PyTorch', 'Apache Airflow', 'Apache Spark', 'FastAPI', 'Flask']",['GCP'],"['Develop and implement machine learning models using appropriate algorithms and techniques.', 'Design, develop, and deploy scalable and high-performance data pipelines using GCP services.', 'Collaborate with data scientists and machine learning engineers to optimize data for model training and inference.', 'Automate data pipelines and infrastructure using tools like Apache Airflow or similar orchestration platforms.']",['Healthcare']
Mid-Level,False,Not mentioned,['Python'],"['Natural Language Processing', 'Deep Learning']","['TensorFlow', 'PyTorch', 'Hugging Face', 'OpenAPI']",['Not mentioned'],"['Develop AI-powered assistants to enhance AI agent and chat capabilities.', 'Build infrastructure and pipelines for real-time AI interactions in production.', 'Prototype new AI applications and improve based on user feedback.', 'Collaborate with engineering, product, and design teams to shape product strategy.']",['Software and Cloud']
Not mentioned,False,Not mentioned,"['Python', 'TypeScript']",['Natural Language Processing'],['Not mentioned'],['Not mentioned'],"['Designing, developing, and maintaining backend services and tools to support ML inference pipelines.', 'Collaborating with teams to integrate backend solutions with front-end and ML components.', 'Ensuring scalability, reliability, and security in the systems built.', 'Participating in code reviews, testing, and documentation efforts.']",['Software and Cloud']
Not mentioned,False,Not mentioned,"['SQL', 'Python', 'R']","['Predictive Modeling', 'Statistical Modeling']","['Looker', 'BigQuery']",['Not mentioned'],"['Build dashboards and reports in Looker to track key metrics', 'Develop and maintain data rollups for reliable reporting', 'Conduct ad-hoc analysis using SQL and BigQuery', 'Analyze A/B test results to measure impact']",['Consulting']
Senior,False,Not mentioned,['Not mentioned'],"['Deep Learning', 'Computer Vision', 'MLOps']","['PyTorch', 'TensorFlow', 'Databricks']",['AWS'],"['Design, build, and deploy machine learning models optimized for performance and scalability.', 'Collaborate with Data Scientists and Data Engineers to implement feature stores and model management.', 'Monitor and optimize the performance of deployed models to meet business requirements.', 'Deliver end-to-end Machine Learning projects, including building and deploying models on AWS Cloud.']",['Consulting']
Mid-Level,False,Not mentioned,['Not mentioned'],"['Recommendation Systems', 'Deep Learning', 'Natural Language Processing']",['Not mentioned'],['Not mentioned'],"['Architect and build the next generation of personalization platform and models', 'Build effective data and models for LLM content and convert them into personalized ML signals', 'Work across stack to deliver various types of models to end users in a scalable and performant way', 'Partner with product managers and partner team engineers to ensure fast and high quality deliverable']",['Software and Cloud']
Mid-Level,False,Not mentioned,['Not mentioned'],"['Generative AI', 'Speech Recognition', 'Natural Language Processing']",['Not mentioned'],['Not mentioned'],"['Design, develop, and maintain machine learning systems', 'Collaborate with developers to integrate models into production', 'Develop and maintain unique data sets', 'Stay up to date with industry advancements']",['Finance']
Senior,False,"Bachelor's/Master’s Degree or greater in Computer Science/Engineering, Statistics, Mathematics, or equivalent",['Python'],"['Generative AI', 'MLOps']","['Kubernetes', 'PyTorch', 'TensorFlow']",['Not mentioned'],"['Architect, design, and implement ML software systems for deploying and managing models at scale.', 'Develop and maintain infrastructure that supports efficient ML operations, including model evaluations, deployments, and training at scale.', 'Collaborate closely with ML researchers, engineers, and cross-functional teams to ensure seamless integration of models with services like Zoom and Athena.', 'Optimize and maintain the performance of ML systems to ensure high availability, fault tolerance, and smooth scalability.']",['Healthcare']
Not mentioned,False,Not mentioned,['Not mentioned'],"['Natural Language Processing', 'Computer Vision']",['Not mentioned'],['Not mentioned'],"['Build and manage the world’s largest semiconductor dataset.', 'Develop software solutions to efficiently scrape and handle data at an internet scale.', 'Prepare and preprocess data for the Machine Learning team.', 'Develop software pipelines for data labelers and manage workloads across large cloud compute clusters.']","['Consumer Electronics', 'Software and Cloud']"
Senior,False,"B.S. in Data Science, Computer Science, Information Sciences, Mathematics, Engineering or related field (M.S. or PhD preferred)","['Python', 'SQL']","['MLOps', 'Predictive Modeling', 'Generative AI']","['PyTorch', 'TensorFlow', 'Docker', 'Kubernetes', 'CI/CD', 'PySpark']",['Not mentioned'],"['Design, build, deploy, and monitor machine learning solutions', 'Create and optimize scalable, resilient systems for data processing', 'Conduct code reviews and mentor team members', 'Develop architecture diagrams and maintain robust documentation']",['Energy']
Senior,False,Not mentioned,['Not mentioned'],"['Deep Learning', 'Natural Language Processing']",['Not mentioned'],['Not mentioned'],"['Research new ML and AI technologies and tools', 'Build prototypes to further research and test hypotheses', 'Collaborate with data scientists, engineers, and developers to integrate AI models', 'Experiment and iterate based on feedback']",['Software and Cloud']
Senior,False,"Bachelor's or Master’s degree in Computer Science, Engineering, Mathematics, or a related field. A Ph.D. is a plus.",['Python'],"['Predictive Modeling', 'Optimization', 'Natural Language Processing']","['TensorFlow', 'PyTorch', 'Redis', 'Milvus', 'Pinecone', 'Weaviate', 'Chroma', 'Faiss']",['AWS'],"['Design, build, and deploy machine learning models for customer personalization and predictive analytics.', 'Analyze large datasets to identify trends and inform model development.', 'Continuously test and refine algorithms to improve accuracy and efficiency.', 'Integrate ML models into the platform and ensure seamless deployment.']","['E-commerce', 'Advertising']"
Mid-Level,False,"BS/MS degree in Computer Science, Statistics, Operation Research, Applied Mathematics, Physics or similar quantitative fields",['Python'],"['Natural Language Processing', 'Computer Vision', 'Graph Machine Learning', 'Multimodal Learning']",['Not mentioned'],['Not mentioned'],"['Lead and build content understanding models for content moderation', 'Collaborate with product teams to define business objectives and improve trust and safety strategy', 'Collaborate with engineering teams to deploy machine learning models and implement serving pipeline at scale', 'Collaborate with data scientist team to understand key challenges and propose data-driven strategies']",['Social Media']
Mid-Level,False,Bachelor's degree in computer science or equivalent,['Not mentioned'],"['Deep Learning', 'Generative AI']",['Not mentioned'],['Not mentioned'],"['Develop and maintain key tooling for model evaluation.', 'Collaborate closely with Applied Scientists to investigate and plan experiments.', 'Manage project prioritization, deliverables, timelines, and stakeholder communication.', 'Work closely with product teams and scientists to create new techniques and tooling.']",['Software and Cloud']
Mid-Level,False,"Master's degree in mathematics, statistics, computer science, or data science","['Python', 'SQL']","['Statistical Modeling', 'Predictive Modeling', 'Natural Language Processing', 'Anomaly Detection']",['PowerBI'],['Not mentioned'],"['Utilize advanced statistical and machine learning techniques to analyze large datasets and build new AI/ML models', 'Conduct exploratory data analysis, feature engineering, and data preprocessing to solve business problems', 'Facilitate the deployment and monitoring of models for real-time and batch processing', 'Engineer A/B tests with scientific rigor and validate results to present to business stakeholders']",['Finance']
Not mentioned,False,"Possess a degree in Computer Science, AI, Machine Learning, Distributed Systems, or a related field.","['Python', 'C', 'C++', 'CUDA']","['Deep Learning', 'Generative AI']","['PyTorch', 'TensorFlow']",['Not mentioned'],"['Designing, implementing, and optimizing GenAI algorithms, techniques, and solutions to address complex business challenges.', 'Collaborating with cross-functional teams to integrate research findings into scalable engineering solutions that align with business objectives.', 'Participating in code reviews, design discussions, and technical presentations to ensure the quality and reliability of our engineering solutions.', 'Identifying opportunities for improvement in existing systems and proposing innovative solutions to enhance performance, scalability, and reliability.']",['Software and Cloud']
Mid-Level,False,"Degree in Computer Science, Data Science, Engineering, or equivalent work experience","['Python', 'Node.js']","['Natural Language Processing', 'Graph Machine Learning', 'Optimization']","['LlamaIndex', 'Memgraph']",['Not mentioned'],"['Participate in the entire product development lifecycle, including architecture, coding, testing, and deploying', 'Research and apply best practices in terms of Knowledge Graph, embeddings, vector and graph RAG search, fine-tuning, and model optimization', 'Develop and maintain backend systems including API services, databases, and server-side logic', 'Optimize tech stack and applications for maximum precision and speed']",['Software and Cloud']
Not mentioned,False,"Bachelor's degree or above, majoring in Computer Science, Computer Engineering, Electrical Engineering, or other related fields.","['Python', 'C++']","['Deep Learning', 'Natural Language Processing', 'Computer Vision', 'Multimodal Learning', 'Generative AI']","['TensorFlow', 'PyTorch', 'MXNet']",['Not mentioned'],"['Understand content of advertisements, including titles, images, videos, OCR texts, ASR texts.', 'Construct models such as AIGC model, image/video model, multimodality model.', 'Improve inference efficiency while maintaining the effectiveness of models.', 'Track and implement SOTA technologies in CV/Multimodality.']","['Social Media', 'Advertising']"
Not mentioned,False,Not mentioned,"['Python', 'R', 'SQL']","['Predictive Modeling', 'Natural Language Processing']","['Azure', 'Databricks', 'CI/CD', 'Version control']",['Azure'],"['Develop scalable data solutions to drive decision-making processes', 'Collaborate with data science teammates, data engineers, and business intelligence developers', 'Develop data products for analytical operations', 'Transform the insurance industry through data']",['Insurance']
Mid-Level,False,"Bachelor's degree in Computer Science, Software Engineering, or related field","['Python', 'Golang']",['MLOps'],"['Docker', 'Kubernetes', 'Jenkins', 'GitLab CI', 'Terraform', 'CloudFormation', 'TensorFlow', 'PyTorch', 'Prometheus', 'Grafana', 'Git']","['AWS', 'GCP', 'Azure']","['Design, develop, and maintain AI services in our AI platform', 'Implement and optimize CI/CD pipelines for machine learning model deployment', 'Collaborate with ML Engineers and Applied Scientists to build efficient model serving systems', 'Monitor system performance and implement improvements for scalability']",['Software and Cloud']
Not mentioned,False,"Ph.D. in Computer Science, Machine Learning, Computational Chemistry, Bioinformatics, or a related field",['Python'],"['Deep Learning', 'Generative AI', 'Optimization', 'Graph Machine Learning', 'Predictive Modeling']","['PyTorch', 'RDKit']",['Not mentioned'],"['Develop and implement novel deep learning models for molecular property prediction, design and optimization, and virtual screening.', 'Collaborate with cross-functional teams of chemists, biologists, and software engineers to integrate ML models into drug discovery pipelines.', 'Conduct in-depth analyses of model outputs and performance metrics to identify areas for improvement.', 'Contribute to the development of scalable and efficient machine learning infrastructure by productionizing research for at-scale use by drug discovery teams.']","['Pharmaceuticals', 'Biotechnology']"
Mid-Level,False,Not mentioned,"['Python', 'Bash']","['MLOps', 'Generative AI']","['Kubernetes', 'Docker', 'GitHub Actions', 'Spark', 'Kafka', 'Flink', 'Prometheus', 'Grafana']",['AWS'],"['Design and implement high-performance data processing infrastructure for large language model training', 'Collaborate with researchers to implement novel data processing pipelines', 'Develop an easy-to-use, secure, and robust developer experience for researchers and engineers', 'Contribute to the MLOps best practices at Lila Sciences and write technical documentation for staff']",['Biotechnology']
Senior,False,"BS in Computer Science, Mathematics, Statistics, or similar field; Master’s degree is a plus","['Python', 'SQL']","['Supervised Learning', 'Unsupervised Learning', 'Statistical Modeling']","['TensorFlow', 'PyTorch', 'Pandas', 'Keras']","['Azure', 'Databrick']","['Develop and implement machine learning models and algorithms.', 'Parse unstructured data into structural form.', 'Conduct data mining and statistical analysis.', 'Collaborate with team members to integrate ML solutions.']",['Consulting']
Not mentioned,False,Not mentioned,"['Python', 'TypeScript']","['Recommendation Systems', 'Generative AI']","['GitHub Actions', 'Terraform']",['AWS'],"['Design, develop and deploy production recommendation systems and generative AI models', 'Own the full ML lifecycle including data preparation, model development, training infrastructure, and production deployment', 'Build robust, scalable ML services using modern cloud infrastructure', 'Collaborate with product teams to understand requirements and translate them into technical solutions']",['Healthcare']
Mid-Level,False,"Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience","['Python', 'C', 'C++']","['Deep Learning', 'Optimization', 'Embedded ML']","['PyTorch', 'LLVM', 'MLIR', 'GCC', 'MSVC', 'Glow']",['Not mentioned'],"['Analyze and design effective compiler passes and optimizations', 'Implement and/or enhance code generation targeting machine learning accelerators', 'Contribute to the development of machine-learning libraries, intermediate representations, export formats, and analysis tools', 'Evaluate code performance, debug, diagnose and drive resolution of compiler and cross-disciplinary system issues']","['Software and Cloud', 'Consumer Electronics']"
Not mentioned,False,Not mentioned,['Python'],"['Deep Learning', 'Computer Vision', 'Natural Language Processing']","['PyTorch', 'Docker', 'Kubeflow']",['AWS'],"['Design and oversee the services and infrastructure for models and power video generation', 'Develop backend services, managing infrastructure as code, and deploying models']",['Software and Cloud']
Mid-Level,False,"Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience","['C++', 'Rust', 'Python']","['Embedded ML', 'Optimization']","['TensorFlow', 'PyTorch', 'Git', 'Bazel', 'Buck', 'CMake']",['Not mentioned'],"['Design and develop the host runtime environment for heterogeneous computing systems', 'Develop and implement device drivers, APIs, and libraries', 'Collaborate with hardware engineers to optimize the host runtime environment', 'Troubleshoot and debug issues with hardware engineers and application developers']",['Software and Cloud']
Senior,False,Not mentioned,['Python'],"['Deep Learning', 'Natural Language Processing']","['scikit-learn', 'XGBoost', 'PyTorch', 'TensorFlow', 'Keras', 'Git']",['Not mentioned'],"['Develop and implement machine learning models using deep learning frameworks.', 'Apply Natural Language Processing techniques to solve business problems.']",['Consulting']
Mid-Level,False,Bachelor’s degree in Computer Science or related fields,"['Java', 'C#', 'Python']","['Supervised Learning', 'Deep Learning', 'Natural Language Processing']","['TensorFlow', 'PyTorch']",['Not mentioned'],"['Develop scalable, robust, and highly available micro services to perform statistical analyses and build/deploy machine learning models', 'Implement new features and optimize existing ones to delight our customers', 'Build and maintain highly scalable data pipelines to cleanse, anonymize, measure, and index complex and multi-modal data', 'Collaborate with peers, prioritize features, and work with a sense of urgency to deliver value to customers']",['Software and Cloud']
Mid-Level,False,"Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience","['Python', 'Javascript', 'Hack']","['Recommendation Systems', 'Pattern Recognition', 'Optimization']","['PyTorch', 'TensorFlow']",['Not mentioned'],"['Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models', 'Adapt standard machine learning methods to best exploit modern parallel environments', 'Suggest, collect and synthesize requirements and create effective feature roadmap']",['Social Media']
Senior,False,"MS/PhD in Computer Science, Machine Learning, or related field preferred",['Python'],"['Natural Language Processing', 'Multimodal Learning', 'MLOps']",['Ray'],['Not mentioned'],"['Design and implement complex LLM applications for enterprise-scale solutions', 'Drive LLM/VLM fine-tuning projects, including dataset preparation and optimization', 'Develop and maintain ML pipelines following MLOps best practices', 'Collaborate with cross-functional teams to integrate ML solutions']",['Software and Cloud']
Mid-Level,False,"Minimum bachelor or master’s degree in Computer Science, Software/Computer Engineering, Applied Math, or related field","['Python', 'C', 'C++']","['Computer Vision', 'Deep Learning', 'MLOps']","['PyTorch', 'TensorFlow', 'Docker']",['AWS'],"['Design, develop, and optimize computer vision and machine learning based solutions for user interfaces', 'Test and maintain large databases of surgical video, system data, and meta data', 'Develop tools and methods for rigorous testing of algorithms prior to product launch', 'Play a central role in putting models into production and developing tools to monitor product performance']",['Healthcare']
Senior,False,"Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience","['Python', 'Java', 'C++', 'JavaScript', 'Perl', 'PHP']","['Recommendation Systems', 'Pattern Recognition', 'Optimization']","['PyTorch', 'TensorFlow']",['Not mentioned'],"['Leading projects or small teams to help them unblock, advocating for ML excellence', 'Adapt standard machine learning methods to best exploit modern parallel environments', 'Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models', 'Code deliverables in tandem with the engineering team']",['Social Media']
Mid-Level,False,"Bachelor’s Degree in Computer Science, Engineering, Statistics, Mathematics, or a similar discipline (Master's Degree or PhD preferred)","['SQL', 'Python']","['Predictive Modeling', 'Optimization']","['Tableau', 'Looker', 'Microsoft Power BI', 'fivetran', 'dbt', 'Databricks', 'Snowflake', 'BigQuery', 'Airflow']",['Not mentioned'],"['Design, build, and maintain scalable ELT pipelines and workflows', 'Develop and optimize SQL and Python-based transformation code', 'Architect data models and schemas for self-service analytics', 'Monitor and improve the performance and reliability of data pipelines']",['Automotive']
Not mentioned,False,"Graduate degree in Computer Science, Machine Learning or Artificial Intelligence specialization","['Python', 'Javascript']","['Computer Vision', 'Deep Learning', 'Reinforcement Learning', 'Natural Language Processing', 'Generative AI']","['Tensorflow', 'PyTorch']","['AWS', 'GCP']","['Take state of the art models developed internally and from the community, use them in production to solve problems for our customers and taskers.', 'Identify areas for improvement in models currently in production, improve them using retraining and hyperparameter searches, then deploy without regressing on core model characteristics.', 'Work with product and research teams to identify opportunities for improvement in our current product line and for enabling upcoming product lines.', 'Build the scalable ML platform to automate our ML service.']","['Software and Cloud', 'Government']"
Not mentioned,False,"Background in quantitative fields (Stats, Math, CS, Engineering, etc.)","['Python', 'SQL']","['Predictive Modeling', 'MLOps']","['SAS', 'AWS SageMaker', 'Snowflake', 'Git']",['AWS'],"['Transform legacy SAS code into modern Python-based solutions', 'Deploy ML models in cloud environments using AWS SageMaker and Snowflake', 'Develop and build ML model pipelines using Python and SQL', 'Implement testing strategies for ML pipelines']",['Software and Cloud']
Not mentioned,False,Not mentioned,"['Python', 'JavaScript', 'SQL']","['Anomaly Detection', 'Natural Language Processing', 'Deep Learning', 'Predictive Modeling']","['Jupyter Notebooks', 'Pandas', 'SciPy', 'Scikit-learn', 'Gensim', 'TensorFlow', 'PyTorch', 'Git']",['Google Cloud'],"['Design and implement AI/ML algorithms', 'Collaborate with product team to create scalable machine learning solutions', 'Configure commercial solutions to meet business needs', 'Create dashboards, logging, alerting, and proactive issue responses']",['Software and Cloud']
Not mentioned,False,"Degree in computer science, electrical engineering or related fields",['Python'],"['Computer Vision', 'Natural Language Processing', 'Deep Learning', 'Recommendation Systems', 'Multimodal Learning']","['PyTorch', 'Tensorflow', 'MXNet', 'Caffe']",['Not mentioned'],"['Conducting development and research on cutting-edge CV, NLP, multi-modality and recommendation topics', 'Following SoTA progress in relevant fields and transform the ideas into production', 'Life-cycle model development, from model training, deployment, maintenance, till its use in business scenarios']",['Social Media']
Senior,False,"Bachelors or Masters degree in Computer Science, Data Science, Statistics, Mathematics, or a related field","['Python', 'R', 'SQL']","['Deep Learning', 'Supervised Learning', 'Predictive Modeling']","['TensorFlow', 'PyTorch', 'scikit-learn', 'Hadoop', 'Spark', 'Git']","['AWS', 'Azure', 'Google Cloud']","['Design, develop, and deploy machine learning models and algorithms to solve complex business problems.', 'Collaborate with data scientists, software engineers, and business stakeholders to understand requirements and deliver scalable ML solutions.', 'Implement and optimize data pipelines and ETL processes to support machine learning workflows.', 'Integrate machine learning models into production systems and monitor their performance.']",['Consulting']
Mid-Level,False,Not mentioned,['Not mentioned'],"['Generative AI', 'Speech Recognition', 'Natural Language Processing']",['Not mentioned'],['Not mentioned'],"['Design, develop, and maintain machine learning systems, including generative AI, speech recognition, and language modeling workflows.', 'Collaborate with other developers to integrate these models into production environments.', 'Develop and maintain unique data sets for both internal and external use.', 'Stay up to date with industry advancements and explore new model innovations.']",['Finance']
Not mentioned,False,"Bachelor’s, Master’s, or Ph.D. in Computer Science, Data Science, Machine Learning, or a related field","['Python', 'Java']","['Reinforcement Learning', 'Deep Learning', 'Natural Language Processing', 'Optimization']","['PyTorch', 'TensorFlow', 'Hugging Face Transformers', 'Streamlit', 'Chainlit']",['Not mentioned'],"['Develop agentic system infrastructure and components, including planning and reasoning engines.', 'Design and experiment with creative prompts to optimize the performance of LLMs.', 'Finetune AI model for agentic use case and deploy LLM models into production systems.', 'Collaborate with researchers, product managers, engineers, and designers to implement AI-driven solutions.']",['Software and Cloud']
Mid-Level,False,"Master / Ph.D. in Computer Science, Applied Math, Statistics, Engineering or a related field","['Python', 'Go', 'Java', 'Scala', 'SQL']","['Supervised Learning', 'Deep Learning', 'Recommendation Systems', 'MLOps']","['Kubernetes', 'Kafka', 'Docker', 'Spark', 'Xgboost', 'Sklearn', 'TensorFlow', 'PyTorch']",['AWS'],"['Design, implement and integrate the next generation of Machine Learning infrastructure', 'Collaborate with engineers and data scientists to create optimal experiences on the Core ML platform', 'Build, debug, and maintain highly available distributed systems', 'Empower developers to build better ML products more quickly']",['Social Media']
Not mentioned,False,"Bachelor’s, Master’s, or Ph.D. in Computer Science, Data Science, Machine Learning, or a related field","['Python', 'Java']","['Reinforcement Learning', 'Deep Learning', 'Natural Language Processing', 'Optimization', 'Human-Computer Interaction', 'MLOps']","['PyTorch', 'TensorFlow', 'Hugging Face Transformers', 'Streamlit', 'Chainlit']",['Not mentioned'],"['Develop agentic system infrastructure and components, including planning and reasoning engines, tool use, computer use and code execution environments.', 'Design and experiment with creative prompts to optimize the performance of LLMs for specific use cases.', 'Finetune AI model for agentic use case and deploy LLM models into production systems.', 'Collaborate with researchers, product managers, engineers, and designers to identify and implement AI-driven solutions.']",['Software and Cloud']
Senior,False,Not mentioned,['Python'],"['Deep Learning', 'Natural Language Processing']","['scikit-learn', 'XGBoost', 'PyTorch', 'TensorFlow', 'Keras', 'Git']",['Not mentioned'],"['Develop and implement machine learning models using deep learning frameworks.', 'Apply natural language processing techniques to solve business problems.']",['Consulting']
Not mentioned,False,Not mentioned,['Python'],"['Generative AI', 'Natural Language Processing', 'Predictive Modeling']","['PyTorch', 'TensorFlow', 'ONNX']","['AWS', 'Microsoft', 'Google Cloud']","['Develop and maintain generative AI solutions.', 'Design and execute prompt engineering experiments.', 'Collaborate with SMEs to evaluate prompt effectiveness.', 'Monitor LLM applications for model drift and performance degradation.']","['Healthcare', 'Insurance']"
Mid-Level,False,"Bachelors degree in quantitative field such as applied math, advanced or applied statistics, computer engineering, computer science, and econometrics.","['Python', 'SQL']","['Natural Language Processing', 'Statistical Modeling', 'Predictive Modeling']","['Pandas', 'NumPy', 'Matplotlib', 'R', 'SAS', 'Plotly', 'NoSQL', 'PyTorch', 'TensorFlow', 'Scikit']",['Not mentioned'],"['Perform data manipulation, data analysis, and data wrangling/ETL.', 'Build, maintain, execute, and document SQL models.', 'Develop and implement databases and data collection systems.', 'Identify, analyze, and interpret trends or patterns in complex datasets.']","['Government', 'Finance']"
Mid-Level,False,"Bachelor’s or Master’s degree in Computer Science, Machine Learning, AI, or a related field",['Python'],"['Reinforcement Learning', 'Natural Language Processing', 'Deep Learning', 'Graph Machine Learning', 'Generative AI', 'MLOps']","['TensorFlow', 'PyTorch', 'Scikit-Learn', 'Docker', 'Kubernetes', 'Spark', 'Ray', 'Dask']","['AWS', 'GCP', 'Azure']","['Design, develop, and optimize machine learning models and pipelines for deployment in production environments.', 'Build scalable and efficient ML infrastructure to support data ingestion, model training, evaluation, and deployment.', 'Collaborate with data scientists, engineers, and product teams to integrate ML solutions into Accrete’s platform.', 'Ensure adherence to MLOps principles, including automation, CI/CD for ML, and reproducibility.']","['Government', 'Software and Cloud']"
Early Career,False,Bachelor's degree or equivalent practical experience. Master's degree in Computer Science or a related technical field preferred.,"['Python', 'C', 'C++', 'Java', 'JavaScript']","['Natural Language Processing', 'Generative AI', 'Reinforcement Learning', 'Computer Vision']",['Not mentioned'],['Not mentioned'],"['Design, develop, test, deploy, maintain, and improve software.', 'Manage project priorities, deadlines, and deliverables.']",['Software and Cloud']
Senior,False,Not mentioned,['Not mentioned'],['Deep Learning'],['Not mentioned'],['Not mentioned'],"['Optimize and scale GPU systems for model training and inference', 'Manage interconnected GPU clusters and improve performance', 'Hands-on with large-scale training and smaller clusters for inference', 'Work cross-functionally with infrastructure, research, and product teams']",['Software and Cloud']
Not mentioned,False,Not mentioned,"['C++', 'Python', 'Shell']","['Deep Learning', 'Recommendation Systems', 'Natural Language Processing']","['TensorFlow', 'Caffe', 'MXNet']",['Not mentioned'],"['Design and build large-scale machine learning algorithms for e-commerce search engines.', 'Build machine learning solutions and algorithm strategies by analyzing user queries.', 'Analyze behavior of creators and merchants to improve monetization efficiency.', ""Support the rapid development of TikTok's e-commerce business.""]","['E-commerce', 'Social Media']"
Mid-Level,False,"Bachelor's degree in Computer Science, Machine Learning, or a related field","['Python', 'SQL']","['Supervised Learning', 'Deep Learning', 'Predictive Modeling']","['TensorFlow', 'PyTorch', 'scikit-learn']",['AWS'],"['Design and implement robust data pipelines for efficient data ingestion, processing, and feature engineering.', 'Select and build appropriate machine learning models based on business requirements and data characteristics.', 'Deploy machine learning models to production environments, ensuring scalability, reliability, and maintainability.', 'Work closely with data scientists, software engineers, and business stakeholders to understand requirements and deliver solutions.']",['E-commerce']
